2019-05-19 18:19:00
sign_sgd_majority_one-point_log-reg_fix-step_20_20,0_1
it: 361, loss: 2.424442449050222, stepsize: 2.9957054518616794e-07
it: 362, loss: 2.4244433476051928, stepsize: 2.6961349066755116e-07
it: 363, loss: 2.424442068891243, stepsize: 2.6961349066755116e-07
it: 364, loss: 2.4244433922777424, stepsize: 2.42652141600796e-07
it: 365, loss: 2.42444230093541, stepsize: 2.42652141600796e-07
it: 366, loss: 2.4244411477980954, stepsize: 2.42652141600796e-07
it: 367, loss: 2.424439974108677, stepsize: 2.42652141600796e-07
it: 368, loss: 2.4244393730203964, stepsize: 2.42652141600796e-07
it: 369, loss: 2.424438307617288, stepsize: 2.42652141600796e-07
it: 370, loss: 2.424437323823326, stepsize: 2.42652141600796e-07
it: 371, loss: 2.4244361729837283, stepsize: 2.42652141600796e-07
it: 372, loss: 2.4244350047879077, stepsize: 2.42652141600796e-07
it: 373, loss: 2.4244339157452193, stepsize: 2.42652141600796e-07
it: 374, loss: 2.424432730143091, stepsize: 2.42652141600796e-07
it: 375, loss: 2.4244338365425118, stepsize: 2.1838692744071644e-07
it: 376, loss: 2.4244333954541597, stepsize: 2.1838692744071644e-07
it: 377, loss: 2.4244339283886895, stepsize: 1.9654823469664478e-07
it: 378, loss: 2.4244347532166435, stepsize: 1.7689341122698032e-07
it: 379, loss: 2.4244348322789815, stepsize: 1.592040701042823e-07
it: 380, loss: 2.4244355234333375, stepsize: 1.4328366309385405e-07
it: 381, loss: 2.424434741856321, stepsize: 1.4328366309385405e-07
it: 382, loss: 2.424434062758163, stepsize: 1.4328366309385405e-07
it: 383, loss: 2.4244343893109566, stepsize: 1.2895529678446868e-07
it: 384, loss: 2.4244350101310514, stepsize: 1.160597671060218e-07
it: 385, loss: 2.42443438078459, stepsize: 1.160597671060218e-07
it: 386, loss: 2.4244349240231067, stepsize: 1.0445379039541962e-07
it: 387, loss: 2.42443494586961, stepsize: 9.400841135587766e-08
it: 388, loss: 2.424435371342601, stepsize: 8.46075702202899e-08
it: 389, loss: 2.424434940444529, stepsize: 8.46075702202899e-08
it: 390, loss: 2.4244353100124303, stepsize: 7.614681319826091e-08
it: 391, loss: 2.424434931523921, stepsize: 7.614681319826091e-08
it: 392, loss: 2.4244351487634335, stepsize: 6.853213187843482e-08
it: 393, loss: 2.424434830409516, stepsize: 6.853213187843482e-08
it: 394, loss: 2.4244345845859945, stepsize: 6.853213187843482e-08
it: 395, loss: 2.42443475348221, stepsize: 6.167891869059135e-08
it: 396, loss: 2.424434845691206, stepsize: 5.551102682153221e-08
it: 397, loss: 2.424435021966187, stepsize: 4.995992413937899e-08
it: 398, loss: 2.4244351564970725, stepsize: 4.4963931725441096e-08
it: 399, loss: 2.4244353353131576, stepsize: 4.0467538552896985e-08
it: 400, loss: 2.4244351443037946, stepsize: 4.0467538552896985e-08
it: 401, loss: 2.4244353132106737, stepsize: 3.6420784697607286e-08
it: 402, loss: 2.424435143562798, stepsize: 3.6420784697607286e-08
it: 403, loss: 2.4244349789325765, stepsize: 3.6420784697607286e-08
it: 404, loss: 2.4244348219894056, stepsize: 3.6420784697607286e-08
it: 405, loss: 2.4244349766720275, stepsize: 3.277870622784656e-08
it: 406, loss: 2.4244351331868694, stepsize: 2.9500835605061903e-08
it: 407, loss: 2.4244349732654062, stepsize: 2.9500835605061903e-08
it: 408, loss: 2.4244348451930717, stepsize: 2.9500835605061903e-08
it: 409, loss: 2.4244349872182855, stepsize: 2.655075204455571e-08
it: 410, loss: 2.4244348380952427, stepsize: 2.655075204455571e-08
