2019-05-19 18:19:22
sign_sgd_majority_two-point_log-reg_var-step_20_10,0_1
it: 410, loss: 1.5622584119442116, stepsize: 0.4938647983247948
it: 411, loss: 1.5622584119442116, stepsize: 0.49326362366699006
it: 412, loss: 1.5622584119442116, stepsize: 0.4926646390821466
it: 413, loss: 1.5622584119442116, stepsize: 0.4920678313051229
it: 414, loss: 1.5622584119442116, stepsize: 0.4914731871829905
it: 415, loss: 1.5622584119442116, stepsize: 0.490880693673816
it: 416, loss: 1.5622584119442116, stepsize: 0.4902903378454601
it: 417, loss: 1.5622584119442116, stepsize: 0.48970210687439175
it: 418, loss: 1.5622584119442116, stepsize: 0.4891159880445185
it: 419, loss: 1.5622584119442116, stepsize: 0.4885319687460315
it: 420, loss: 1.5622584119442116, stepsize: 0.4879500364742666
it: 421, loss: 1.5622584119442116, stepsize: 0.4873701788285793
it: 422, loss: 1.5622584119442116, stepsize: 0.48679238351123544
it: 423, loss: 1.5622584119442116, stepsize: 0.4862166383263152
